"rank","categoryRank","name","category","score","adoption","community","activity","deployment","gtmFit","licencePoints","licence","licenceModel","eligible","maturity","recommendation","stars","forks","openIssues","lastPush","replaces","github","website","checked","methodVersion"
"1","1","Cal.com","Forms, Surveys & Conversion","93.8","22.6","14.2","18","14","15","10","MIT","Permissive open source","true","Established","Strong shortlist","46636","14496","1355","2026-07-09","Calendly; Chili Piper","https://github.com/calcom/cal.diy","https://cal.diy","2026-07-20","1.0"
"2","1","Chatwoot","Customer Support & Success","93.3","21.9","13.4","20","15","15","8","MIT core + enterprise files","Open core (permissive)","true","Established","Strong shortlist","34579","8245","1249","2026-07-20","Intercom; Zendesk","https://github.com/chatwoot/chatwoot","https://www.chatwoot.com/help-center","2026-07-20","1.0"
"2","1","Umami","Analytics & Experimentation","93.3","22.1","13.2","20","15","13","10","MIT","Permissive open source","true","Established","Strong shortlist","37768","7581","116","2026-07-20","Google Analytics","https://github.com/umami-software/umami","https://umami.is","2026-07-20","1.0"
"4","1","Excalidraw","Creative & Content","92.9","24.7","14.2","20","15","9","10","MIT","Permissive open source","true","Established","Strong shortlist","127938","14484","3242","2026-07-20","Miro; FigJam","https://github.com/excalidraw/excalidraw","https://excalidraw.com","2026-07-20","1.0"
"5","1","Strapi","Website & Content","92.1","23.5","13.6","20","15","12","8","MIT community edition + enterprise files","Open core (permissive)","true","Established","Strong shortlist","72689","9803","494","2026-07-20","Contentful; Sanity","https://github.com/strapi/strapi","https://strapi.io","2026-07-20","1.0"
"5","1","Twenty","CRM & Revenue Operations","92.1","22.8","13.3","20","14","15","7","AGPL-3.0 core + enterprise files","Open core (copyleft)","true","Established","Strong shortlist","53330","8099","104","2026-07-20","Salesforce; HubSpot; Attio","https://github.com/twentyhq/twenty","https://twenty.com","2026-07-20","1.0"
"7","1","Crawl4AI","Prospecting & Web Data","91.7","23.5","13.2","20","13","12","10","Apache-2.0","Permissive open source","true","Established","Strong shortlist","73401","7546","111","2026-07-20","Firecrawl","https://github.com/unclecode/crawl4ai","https://crawl4ai.com","2026-07-20","1.0"
"8","1","LangChain","Agent & GTM Developer Tools","90.8","24.9","14.9","20","13","8","10","MIT","Permissive open source","true","Established","Strong shortlist","142171","23644","437","2026-07-20","Proprietary agent SDKs","https://github.com/langchain-ai/langchain","https://docs.langchain.com/langchain/","2026-07-20","1.0"
"9","2","Payload","Website & Content","90.7","22.4","12.3","20","14","12","10","MIT","Permissive open source","true","Established","Strong shortlist","43707","3952","897","2026-07-20","Contentful; Sanity","https://github.com/payloadcms/payload","https://payloadcms.com","2026-07-20","1.0"
"10","1","listmonk","Marketing Automation & Email","90.6","21","11.6","20","15","14","9","AGPL-3.0","Copyleft open source","true","Established","Strong shortlist","22294","2427","101","2026-07-20","Mailchimp; Campaign Monitor","https://github.com/knadh/listmonk","https://listmonk.app","2026-07-20","1.0"
"11","2","PostHog","Analytics & Experimentation","90","22.1","11.9","20","14","14","8","MIT core + enterprise files","Open core (permissive)","true","Established","Strong shortlist","37116","3067","4848","2026-07-20","Mixpanel; Amplitude; Hotjar","https://github.com/PostHog/posthog","https://posthog.com","2026-07-20","1.0"
"12","2","Flowise","Agent & GTM Developer Tools","89.9","22.9","15","20","14","10","8","Apache-2.0 core + enterprise files","Open core (permissive)","true","Established","Strong shortlist","54770","24739","1009","2026-07-17","AirOps; visual agent builders","https://github.com/FlowiseAI/Flowise","https://flowiseai.com","2026-07-20","1.0"
"13","2","ComfyUI","Creative & Content","89.8","24.6","14.2","20","12","10","9","GPL-3.0","Copyleft open source","true","Established","Strong shortlist","121541","14320","4304","2026-07-19","Midjourney; Runway image workflows","https://github.com/Comfy-Org/ComfyUI","https://www.comfy.org/","2026-07-20","1.0"
"13","3","Matomo","Analytics & Experimentation","89.8","21","11.8","20","14","14","9","GPL-3.0","Copyleft open source","true","Established","Strong shortlist","21705","2867","2536","2026-07-20","Google Analytics; Adobe Analytics","https://github.com/matomo-org/matomo","https://matomo.org/","2026-07-20","1.0"
"15","1","Activepieces","Workflow Automation","89.4","21.1","12.3","20","14","14","8","MIT core + enterprise files","Open core (permissive)","true","Established","Strong shortlist","23343","3942","436","2026-07-20","Zapier; Make","https://github.com/activepieces/activepieces","https://www.activepieces.com","2026-07-20","1.0"
"16","3","Penpot","Creative & Content","89.2","23","12.2","20","14","10","10","MPL-2.0","Permissive open source","true","Established","Strong shortlist","56995","3763","737","2026-07-20","Figma","https://github.com/penpot/penpot","https://penpot.app","2026-07-20","1.0"
"17","4","Plausible Analytics","Analytics & Experimentation","88.5","21.5","11","20","14","13","9","AGPL-3.0","Copyleft open source","true","Established","Strong shortlist","27885","1722","71","2026-07-20","Google Analytics","https://github.com/plausible/analytics","https://plausible.io","2026-07-20","1.0"
"18","2","Mautic","Marketing Automation & Email","88.4","19.4","12","20","13","15","9","GPL-3.0-or-later","Copyleft open source","true","Mature","Strong shortlist","10172","3369","214","2026-07-20","HubSpot Marketing Hub; Marketo","https://github.com/mautic/mautic","https://www.mautic.org","2026-07-20","1.0"
"18","2","Node-RED","Workflow Automation","88.4","21.1","12.3","20","15","10","10","Apache-2.0","Permissive open source","true","Established","Strong shortlist","23431","3873","315","2026-07-13","Zapier; Make","https://github.com/node-red/node-red","http://nodered.org","2026-07-20","1.0"
"20","2","Krayin CRM","CRM & Revenue Operations","88","21.1","10.9","20","12","14","10","MIT","Permissive open source","true","Established","Strong shortlist","23418","1532","128","2026-07-17","HubSpot CRM; Pipedrive","https://github.com/krayin/laravel-crm","https://krayincrm.com","2026-07-20","1.0"
